84,275,107
817,280,107
845,275,99
846,275,98
849,271,95
850,268,94
851,266,93
854,265,89
855,264,88
869,264,89
876,265,92
886,264,92
888,261,92
889,258,92
890,255,91
892,251,88
893,246,87
894,243,86
895,240,85
896,238,85
897,234,85
898,231,85
899,226,85
900,223,85
901,220,85
902,219,85
903,216,85
905,214,85
911,210,85
912,208,85
913,207,85
914,205,85
915,204,85
916,202,85
922,201,85
925,199,85
929,198,85
932,195,84
934,194,83
935,192,81
936,191,80
940,190,79
943,189,77
944,188,76
947,187,76
950,186,75
952,186,74
953,186,72
957,185,71
960,184,71
962,183,70
965,181,70
967,180,70
969,178,70
976,177,70
977,176,69
978,175,68
1025,176,68
1051,177,70
1057,177,71
1059,177,73
1062,176,74
1065,174,76
